2021-10-21 10:40:50.703 [restartedMain] INFO  j.audit - 1. Statement.new Statement returned 
2021-10-21 10:40:50.703 [restartedMain] INFO  j.audit - 1. Connection.createStatement() returned net.sf.log4jdbc.sql.jdbcapi.StatementSpy@741d853e
2021-10-21 10:40:50.704 [restartedMain] INFO  j.sqlonly - SELECT SYS_CONTEXT('USERENV', 'CURRENT_SCHEMA') FROM DUAL

2021-10-21 10:40:50.704 [restartedMain] INFO  j.sqltiming - SELECT SYS_CONTEXT('USERENV', 'CURRENT_SCHEMA') FROM DUAL
 {executed in 0 msec}
2021-10-21 10:40:50.708 [restartedMain] INFO  j.resultset - 1. ResultSet.new ResultSet returned 
2021-10-21 10:40:50.708 [restartedMain] INFO  j.audit - 1. Statement.executeQuery(SELECT SYS_CONTEXT('USERENV', 'CURRENT_SCHEMA') FROM DUAL) returned net.sf.log4jdbc.sql.jdbcapi.ResultSetSpy@13791b79
2021-10-21 10:40:50.709 [restartedMain] INFO  j.resultset - 1. ResultSet.next() returned true
2021-10-21 10:40:50.709 [restartedMain] INFO  j.resultset - 1. ResultSet.getString(1) returned INSA
2021-10-21 10:40:50.710 [restartedMain] INFO  j.resultsettable - 
|----------------------------------------|
|sys_context('userenv','current_schema') |
|----------------------------------------|
|INSA                                    |
|----------------------------------------|

2021-10-21 10:40:50.711 [restartedMain] INFO  j.resultset - 1. ResultSet.close() returned void
2021-10-21 10:40:50.711 [restartedMain] INFO  j.audit - 1. Statement.close() returned 
2021-10-21 10:40:50.715 [restartedMain] INFO  j.audit - 1. Statement.new Statement returned 
2021-10-21 10:40:50.715 [restartedMain] INFO  j.audit - 1. Connection.createStatement() returned net.sf.log4jdbc.sql.jdbcapi.StatementSpy@1cc9d086
2021-10-21 10:40:50.715 [restartedMain] INFO  j.sqlonly - select * from all_sequences

2021-10-21 10:40:50.717 [restartedMain] INFO  j.sqltiming - select * from all_sequences
 {executed in 2 msec}
